q_1,q_2,q_4,q_6,q_7,q_8,q_10,q_11,q_14,q_15,q_17,q_19,q_21,q_22,q_23,q_24,q_25,q_26,q_28,q_30,q_32,q_33,q_34,q_36,q_40,q_43,q_46,q_48,q_51,q_55,q_56,q_57,q_60,q_62,q_65,q_67,q_69,q_72,q_73,q_74,q_76,q_77,q_79,q_80,q_81,q_84,q_85,q_86,q_87,q_88,q_89,q_90,q_91,q_93,q_95,q_96,q_97,q_104,q_106,q_107,q_109,q_111,q_113,q_115,q_117,q_118,q_119,q_123,q_125,q_126,q_127,q_128,q_129,q_130,q_131,q_132,q_133,q_134,q_136,q_138,q_139,q_141,q_144,q_146,q_147,q_148,q_149,q_151,q_152,q_153,q_154,q_155,q_157,q_158,q_164,q_165,q_166,q_168,q_171,q_174,q_175,q_176,q_177,q_179,q_182,q_183,q_184,q_185,q_186,q_190,q_193,q_194,q_195,q_196,q_197,q_199,q_200,q_201,q_202,q_203,q_204,q_206,q_207,q_208,q_210,q_211,q_212,q_214,q_215,q_216,q_221,q_223,q_225,q_227,q_228,q_229,q_230
1,1,-1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,2,1,1,-1,2,1,1,-1,2,1,2,1,-2,1,-1,1,1,-2,1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-2,-2,-1,-1,1,1,1,-1,-1,-1,-2,-1,-2,-1,-1,1,2,-2,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,1,1,1,-2,1,1,2,1,-1,1,2,1,-1,-1,1,-1,2,1,1,1,1,1
-1,1,-2,1,2,-1,-2,1,1,-1,1,-1,-1,-2,-1,-1,-1,-1,2,-2,2,1,-1,-2,1,-1,1,1,-1,1,-2,1,1,1,1,2,1,1,1,1,1,-1,-1,2,2,-1,-2,2,1,1,1,-2,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-2,-1,-1,-2,-2,-1,-1,1,-2,2,-2,2,-2,1,-1,-1,1,-1,1,1,1,1,2,1,1,1,1,1,2,1,-2,1,1,1,1,-1,2,1,-1,2,-1,-2,2,1,-1,-1,2,1,2,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,-1,-1,1,1,2,2,2,1,2
1,2,-2,1,2,1,-2,2,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,2,1,-2,-1,-1,-1,1,2,2,2,1,2,1,2,1,1,-1,1,1,1,1,1,-2,2,1,2,-1,2,1,2,2,2,1,1,2,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-2,1,-1,-2,-2,-1,-1,-1,1,1,-2,1,-1,1,-2,-1,-1,-1,-1,1,1,1,2,2,2,2,1,1,1,1,-1,1,-1,1,1,-1,1,1,1,1,1,-1,2,-1,1,1,1,1,2,-1,1,2,-1,1,1,2,2,-1,1,2,2,2,1,1,-1,2,1,2,2,1,1
2,1,-1,1,2,2,-1,-1,2,2,1,1,-1,1,2,-1,1,1,1,-1,2,2,-2,-2,2,-1,2,2,2,2,2,2,-1,2,2,2,2,1,1,2,1,1,-1,2,2,2,-2,2,2,2,2,-2,2,-1,2,2,-2,2,-1,-2,-1,-2,-1,-2,1,-2,-2,-2,-2,-1,-1,-1,-2,-1,-2,-1,1,-2,-2,-1,-2,-2,-1,-2,2,-2,1,2,-1,2,2,2,2,2,2,1,1,1,1,2,2,-2,2,1,1,1,-1,2,-1,2,1,1,2,2,-1,1,2,2,2,2,2,2,2,1,2,2,2,-1,1,2,-1,2,2,1,2,2,2
1,2,1,1,2,1,-1,1,1,-1,2,1,1,-1,1,-1,2,-1,1,1,2,1,-1,-1,1,-1,1,1,1,1,1,2,1,1,-1,1,1,-1,-1,1,1,1,-1,2,2,1,-1,1,1,-1,2,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-2,-2,1,-1,-2,-1,2,-2,2,-2,-1,-1,1,-1,-1,-1,1,1,-1,2,2,1,1,1,1,1,1,-2,1,-1,1,2,-1,2,1,1,1,-1,1,2,-1,1,-1,1,1,2,1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1,2,1,1,-1,1,1
1,2,-1,1,2,2,-1,1,2,-1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,2,2,1,1,1,1,-1,1,2,1,-1,-1,-2,1,2,1,-1,1,-1,1,-1,2,-1,1,2,-1,2,1,1,1,1,1,-2,-2,-1,-2,-1,-2,-2,-2,-1,-1,-2,-2,-2,-1,-2,1,-1,-1,-2,-1,-1,-1,-1,-1,-2,-1,-1,1,-1,1,2,2,1,1,2,1,2,-1,-1,1,1,1,1,-2,2,-1,-1,1,1,-1,2,1,-1,-1,2,2,1,-1,1,1,-1,2,1,1,1,-1,1,1,1,1,-1,1,-1,2,2,1,1,1,2
2,1,-2,1,2,1,-2,1,2,-2,1,1,1,1,1,1,-2,-1,2,1,2,1,-2,-1,1,-1,-1,2,-1,2,1,2,1,2,2,2,1,-2,-1,2,1,1,-2,1,2,2,-2,2,1,2,2,-1,1,1,2,1,2,1,-2,-2,-2,-2,-1,-2,1,-2,-2,-1,-2,-2,-2,-1,-2,-1,-1,1,-2,-2,-2,-1,-2,-2,-2,-1,1,1,1,1,2,1,1,2,2,2,1,1,-2,2,1,2,-1,-2,2,1,1,1,-1,2,2,2,1,-1,2,1,2,-1,2,1,1,2,2,2,2,-1,2,2,2,1,-2,1,-2,2,2,2,2,1,2
1,2,1,-1,2,1,-2,2,1,-1,2,-1,1,-1,1,-2,-1,-1,2,-1,2,2,-2,-1,1,-1,-1,-1,2,-1,2,2,-1,2,-1,2,1,-1,2,2,1,1,-1,1,2,2,-1,2,2,2,1,-1,-1,-2,2,1,-1,-1,-1,-2,2,-2,2,2,2,-2,-2,-1,-2,-2,-2,-2,-1,1,-1,2,-2,2,-2,-1,-2,-2,-2,1,1,-1,1,2,1,2,2,1,2,2,2,1,-1,1,2,2,2,-1,2,1,-1,2,1,2,2,2,2,2,2,-1,2,1,1,1,-1,-1,-2,2,2,2,2,2,2,2,-1,2,-2,2,2,2,2,2,2
2,2,-1,-2,1,1,-2,2,1,1,1,-1,-2,-2,1,-2,-1,-1,2,1,2,2,-1,2,-1,-1,1,1,1,-1,2,2,-1,2,-1,2,1,-2,1,1,-1,-2,-1,-1,2,1,-2,1,-1,2,2,-2,-2,-2,1,1,-2,-1,-1,-2,1,1,1,-2,1,-1,-2,-1,-2,-2,-2,-2,-1,1,-1,2,-2,-1,-1,-1,-1,-1,1,-1,-2,-1,2,1,2,2,1,-1,2,1,2,2,-2,2,2,2,1,-1,1,1,-2,1,-1,-1,2,2,2,2,2,-2,2,1,1,-1,1,1,-2,2,1,1,2,-2,1,1,-1,2,1,1,1,2,2,1,2
2,2,-2,1,2,1,-2,1,2,-1,2,1,-1,-2,-1,-1,-1,1,2,2,2,2,-2,-1,1,-1,2,2,1,1,2,2,-2,2,-1,2,1,-1,1,2,1,2,-2,1,2,2,-1,2,-1,1,2,-1,-1,1,2,-1,1,2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,-1,-2,-1,1,1,-1,-1,-1,1,-1,1,2,2,1,1,2,1,2,-1,-2,1,2,2,2,-2,2,1,1,2,-1,1,2,2,-1,-1,2,-1,1,1,2,-1,-1,2,-1,2,2,-1,2,-1,1,-2,-2,2,-1,2,2,2,2,2,2
2,2,-2,1,2,1,-2,1,1,-1,2,-1,-1,-1,-2,-1,-1,1,1,1,2,2,-2,1,1,-1,1,1,-1,2,1,2,1,2,2,1,1,-2,-1,2,1,2,-2,1,2,1,-2,2,-1,2,2,-2,1,2,2,2,1,2,-2,-2,-1,-2,-1,-2,1,-2,-2,-1,-2,-2,-1,-1,-2,1,-2,1,-2,-1,-1,1,-2,1,-1,-1,2,1,1,2,2,2,1,2,2,2,1,1,-1,1,1,2,2,-2,2,1,1,-2,-1,-1,2,2,2,-1,2,1,1,-1,-1,1,1,1,1,2,1,-1,2,1,1,1,-1,2,-2,2,2,2,1,1,2
1,1,-2,2,1,1,-2,1,-1,-2,1,1,-1,-2,1,-1,1,-1,1,1,1,-1,-2,1,1,-1,1,1,-2,1,1,-2,1,1,1,1,1,1,-1,1,1,1,-2,1,1,1,-2,2,1,1,1,-2,1,-2,1,1,-2,1,-2,1,-1,-2,-1,-2,-1,1,-2,-2,-2,-2,-2,-1,-2,-2,-2,1,1,-2,-1,1,-2,-1,1,-2,-2,-1,2,-1,2,1,1,1,2,1,2,2,-1,2,-1,2,1,-2,1,1,1,1,-1,-2,1,1,-1,1,1,1,2,1,1,2,2,1,1,2,1,-1,2,-2,2,1,1,1,1,1,2,1,1,1,2
1,1,-1,2,2,1,-1,2,1,1,1,-2,-1,-1,1,-1,1,-1,1,1,1,1,-1,-2,1,-1,2,2,-1,1,1,1,1,2,2,1,1,-1,1,2,1,1,-1,2,2,2,-1,1,1,1,1,-1,1,1,2,1,-1,-1,-1,-1,-1,-2,-1,-1,1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,1,1,1,1,2,2,1,2,2,2,-1,2,1,1,-1,-1,1,-1,1,1,-1,-1,1,1,2,1,2,2,1,1,2,2,1,1,2,2,2,-1,1,1,2,-2,1,1,-1,1,1,1,-1,1,2
2,2,1,1,2,2,-1,1,1,-1,2,1,1,-2,-1,1,-1,1,2,-1,2,2,-2,-1,1,-1,2,2,1,2,2,2,1,2,2,2,-1,-2,1,2,2,2,-2,2,2,2,-2,2,2,2,2,-1,1,1,2,2,1,2,-1,-2,1,-2,1,-2,-1,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,1,-2,-1,-2,-2,-1,2,-1,-1,1,1,-1,1,2,2,2,2,2,2,2,-1,-1,2,1,2,2,-2,2,-1,2,2,1,1,2,2,1,-2,2,2,2,2,2,2,-1,2,2,2,2,-1,1,1,2,1,-1,2,1,2,2,2,2,2,2
1,1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,-2,-2,1,1,1,1,-2,1,-1,1,1,1,1,1,1,-2,-1,1,1,1,-1,2,2,1,-1,2,1,1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-2,-1,-1,-2,-2,-2,-1,-1,-1,2,-2,-1,-2,-1,1,-1,-1,-2,-1,1,2,1,2,2,1,1,2,2,2,1,-2,-1,1,2,-1,-1,1,1,1,1,-1,1,2,1,1,-2,1,1,2,-1,1,1,2,1,1,2,2,1,1,2,1,-1,1,2,-1,1,2,2,1,1,2
-2,2,-1,2,-1,1,1,-1,-1,-1,2,-1,-1,-1,2,-1,1,-1,1,1,1,2,-2,-1,1,-1,2,2,2,-1,1,2,-1,2,2,-1,2,1,-1,1,1,-2,-1,2,2,2,-2,2,-2,2,2,-1,2,1,2,2,2,1,1,-1,-1,2,-2,-2,-1,1,-1,1,-1,-2,-1,-1,-1,-1,1,2,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,2,1,2,1,2,-2,2,2,2,1,-2,-1,-1,2,-1,-1,2,-1,2,2,-1,-2,2,2,-1,-2,1,-2,1,2,2,2,2,2,-2,1,1,-2,-1,1,-2,1,-1,2,-1,2,1,1,2,1,2
-2,1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,-1,1,1,-1,-1,-2,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-2,-2,1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,1,1,1,1,-1,1,-1,1,-1,-1,1,-1,1,2,-1,1,1,1,1,-2,-1,1,-1,1,1,-1,1,1,1,2,1,-1,1,1,1,-1,1,1,1,1,1,-1,1,-1,1
-1,2,-1,1,2,1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,2,-1,1,-1,-1,2,1,1,-1,-1,1,-1,-2,1,1,1,1,-1,-2,1,1,1,-1,-1,1,1,-1,1,1,2,1,1,1,1,1,1,-2,1,-1,-2,-1,-1,-1,-1,1,-2,-1,1,-2,-2,-2,-1,1,-2,-1,2,-2,1,-2,-1,-1,-1,1,2,1,1,1,1,2,1,-1,1,1,-1,1,1,-2,1,-1,1,1,-1,1,1,2,2,-1,-1,2,-2,-1,-1,1,1,2,1,-2,1,1,1,-2,2,2,-1,1,1,1,2,-1,1,-1,1,1,1,-1,1,1
