question_ru,question_type
отметка времени,info
с информированным согласием ознакомлен(а) и согласен(сна) принять участие в исследовании,info
адрес электронной почты,info
пол,info
сколько вам лет?,info
каков ваш стаж в психологическом консультировании?,info
есть ли у вас высшее психологическое образование?,info
каков ваш основной подход в работе?,info
каков ваш дополнительный подход в работе?,info
"я следил(а) за тем, как менялось состояние клиента от начала к концу сессии",competencies
"я не указывал(а) клиенту на его дисфункциональные процессы, убеждения или внутренние противоречия, чтобы не нарушить наши отношения",competencies
"я спрашивал(а) клиента о том, комфортно ли ему во время сессии",competencies
"я не называл(а) чувства клиента, он сам должен осознавать и называть их",competencies
я использовал(а) невербальные способы поддержки клиента,competencies
"я старался(лась) не показывать клиенту свои чувства, возникающие в процессе терапии",competencies
"я не отзеркаливал(а) чувства клиента, чтобы не вовлечься в его переживания и быть в состоянии помочь ему",competencies
"сначала я собирал(а) как можно больше информации о жизни клиента, а потом думал(а), что из этого пригодится в работе",competencies
"я хорошо понимал(а), что я спрашиваю у клиента и зачем",competencies
"вне сессий я тренировал(а) свои профессиональные навыки (например, в группах, на тренингах и т.д.)",competencies
я не предлагал(а) клиенту конкретных решений ситуации,competencies
"я использовал(а) специальные инструменты для подведения промежуточных итогов (например, шкалы или вопросы)",competencies
я не тратил(а) время сессии на оценку промежуточных результатов,competencies
"я не отмечал(а) незначительные изменения клиента, пока проблема не была полностью решена",competencies
"когда я слушал(а) клиента, то смотрел(а) на него, активно поддерживая контакт",competencies
я специально оставлял(а) время в конце сессии для подведения итогов,competencies
"я использовал(а) техники, помогающие клиенту преодолеть его дисфункциональные процессы и паттерны поведения",competencies
"я обсуждал(а) с клиентом его затруднения, и мы вместе размышляли над тем, как их преодолеть",competencies
я не подводил(а) итогов на сессии,competencies
я предлагал(а) клиенту варианты поведения в определенных ситуациях,competencies
"я проводил(а) самостоятельный анализ сессий, чтобы лучше разобраться в случае клиента",competencies
"я делал(а) паузы в разговоре, чтобы дать клиенту возможность побыть со своими мыслями и переживаниям",competencies
я старался(лась) не влиять на убеждения клиента,competencies
"на вопросы клиента о моих чувствах я давал(а) честный ответ, даже если это могло задеть его",competencies
я использовал(а) шкалы обратной связи,competencies
"на сессиях я действовал(а) интуитивно, не вдаваясь в детальный анализ своей работы",competencies
"когда я наблюдал(а) у клиента какой-то дисфункциональный процесс/убеждение или внутреннее противоречие, я прямо указывал(а) на это",competencies
"я возвращал(а) клиента к изначальному плану терапии, если он отвлекался на другие цели",competencies
я не подстраивался(лась) под позу и манеру речи клиента,competencies
"я просил(а) клиента подробнее рассказать о чувствах, которые он испытывает",competencies
после рассказа клиента я кратко резюмировал(а) ему суть сказанного,competencies
"я рекомендовал(а) клиенту ознакомиться с дополнительной информацией (исследования, книги, статистические данные, статьи и др.), которые не совпадают с его убеждениями",competencies
"я рассказывал(а) клиенту о том, что может значить его поведение или состояние с точки зрения той теории, которой я учился(лась)",competencies
между сессиями я анализировал(а) качество терапевтического альянса,competencies
"я не задавал(а) клиенту вопросы про результаты терапии, так как, когда они появятся, это станет само собой заметно",competencies
"я подводил(а) итог сессии, только если об этом просил клиент",competencies
"если клиент сам не рассказывал подробно о чем-то, я не просил(а) клиента рассказать больше",competencies
я не раскрывал(а) клиенту свое видение его случая,competencies
я говорил(а) клиентам слова одобрения и поддержки в процессе работы,competencies
"когда клиент был недоволен и не ценил проделанную работу, я расстраивался(лась) и говорил(а) клиенту о своих чувствах",competencies
"если в разговоре с клиентом возникала пауза, я старался(лась) ее чем-то заполнить",competencies
"задавая вопросы клиенту, я опирался(лась) на интуицию",competencies
"я использовал(а) фразы «расскажите больше о…», «а что еще…?»",competencies
"я называл(а) чувства, переживаемые клиентом",competencies
"я подстраивался(лась) под позу, тембр и манеру речи клиента",competencies
"я использовал(а) психологические термины, чтобы завоевать доверие клиента",competencies
"я не обсуждал(а) с клиентом то, что уже достигнуто, а фокусировался(лась) на том, что еще не сделано",competencies
я давал(а) клиенту домашние задания,competencies
"я ждал(а), когда клиент сам обнаружит свои внутренние противоречия и затруднения",competencies
"я просил(а) клиента рассказывать мне о том, как он оценивает свой прогресс",competencies
я открыто делился своими чувствами с клиентом во время сессии,competencies
я просил(а) клиента говорить о своих чувствах и мыслях и не предлагал(а) своих интерпретаций,competencies
"я использовал(а) перефразирование, чтобы убедиться, что правильно понимаю клиента",competencies
"в начале сессии я обсуждал(а) с клиентом, с чем бы он хотел поработать сегодня",competencies
"я не выделял(а) значимые моменты сессии для клиента, поскольку он сам запоминает самое важное",competencies
"я обсуждал(а) с клиентом нашу работу, его удовлетворенность ею",competencies
"я спрашивал клиента, насколько работа с текущими переживаниями для него актуальнее, чем работа над целью",competencies
"я уточнял(а) у клиента, правильно ли я его понимаю",competencies
"я не привносил(а) информации, противоречащей взгляду клиента",competencies
"я анализировал(а) проведенные мною сессии, чтобы выявить свои зоны развития",competencies
я повторял(а) сказанное словами клиента,competencies
я использовал(а) рекомендации и предписания в своей работе,competencies
"я поддерживал(а) в клиенте ощущение веры в свою способность достичь цели, напоминая о его предыдущих успехах",competencies
я не анализировал(а) случай клиента между сессиями,competencies
"я ждал(а) полного решения проблемы, чтобы вместе с клиентом подвести итоги работы",competencies
"я использовал(а) молчание, чтобы углубить контакт",competencies
"я уделял(а) внимание смыслу сказанного клиентом, а не его невербальным проявлениям",competencies
я обращал(а) большое внимание на невербальные проявления клиента,competencies
"я не акцентировал(а) внимание на успехах клиента и ждал(а), что он сам их заметит",competencies
"когда клиент дистанцировался и избегал говорить о чем-то, я старался(лась) вовлечь его в обсуждение",competencies
я избегал(а) переспрашиваний в процессе работы,competencies
я не пользовался(лась) техникой терапевтических пауз на сессии,competencies
"когда клиент высказывал неудовлетворенность работой, я пытался(лась) переубедить его",competencies
"я предлагал(а) клиенту помолчать, чтобы обратить его внимание на то, что с ним происходит",competencies
"я использовал(а) метафоры и аналогии, чтобы клиенту было понятнее, что я имел(а) в виду",competencies
по следам рассказа клиента я обобщал(а) суть его переживаний и размышлений,competencies
я часто испытывал(а) теплые чувства и заботу по отношению к клиенту,competencies
"я задавал(а) вопросы, направленные на расширение и дополнение видения ситуации клиентом",competencies
я не использовал(а) перефразирование,competencies
я просил(а) клиента на сессии усилить невербальные проявления чувств и переживаний,competencies
"я не использовал(а) интерпретации, чтобы не исказить субъективный опыт клиента",competencies
"я акцентировал(а) внимание клиента на том, что его действия, слова и чувства могут иметь определенный психологический смысл",competencies
"в конце сессии я уточнял(а) у клиента, что он считает результатом сессии",competencies
"я использовал(а) вопросы только для сбора информации, а не для продвижения терапевтического процесса",competencies
я замечал(а) даже малейшие положительные изменения у клиента и говорил(а) ему о них,competencies
"мне было трудно удерживать зрительный контакт с клиентом, это отвлекало от сути нашей беседы",competencies
я акцентировал(а) внимание клиента на его достижениях,competencies
во время сессии я сопоставлял(а) изначальный запрос клиента и текущие результаты,competencies
я резюмировал(а) слова клиента,competencies
"я задавал(а) вопросы, ориентируясь на поставленную цель терапии",competencies
"я не переключался(лась) на текущие потребности клиента, не связанные с выбранной целью",competencies
я посещаю конференции и участвую в них,competencies
"я не рассказываю клиентам про то, как действуют техники и упражнения, которые я применяю в работе с ними",competencies
"я не рассказываю клиентам о том, как работаю, поскольку считаю, что это никак не повлияет на эффективность нашей работы",competencies
"я не обсуждаю контракт с клиентом, поскольку этого не предполагает подход, в котором я работаю",competencies
"в процессе терапии все быстро меняется, поэтому я не формулирую детализированный контракт о целях работы с клиентом",competencies
я не ощущаю необходимости в курсах повышения квалификации,competencies
я не ощущаю потребности в личной терапии,competencies
я изучаю актуальную повестку научных событий в своей области,competencies
я формулирую психотерапевтический контракт с клиентом,competencies
"я поддерживаю в терапии актуальный процесс клиента, а не концентрируюсь на целях.",competencies
я обсуждаю с клиентом критерии достижения общей цели нашей работы,competencies
"я обращаюсь к своим коллегам, чтобы обсудить возникающие в процессе консультирования проблемы (например, этические, эмоциональные и пр.)",competencies
"когда клиент задает вопросы обо мне, я отвечаю максимально подробно",competencies
"я ничего не рассказываю клиенту о себе, на терапии мы говорим о клиенте",competencies
"я осваиваю новые подходы самостоятельно, не прибегая к обучению у других специалистов",competencies
"я раскрываю перед клиентом личный опыт, когда понимаю, что у нас крепкий терапевтический альянс",competencies
"я объясняю клиенту цель и способ действия интервенций, которые я применяю",competencies
"я следую за текущими процессами клиента, не инициируя обсуждение целей нашей работы",competencies
"когда клиент отказывается работать с какой-то техникой, я обсуждаю с ним возможность альтернативных вариантов",competencies
я не провожу профилактику эмоционального выгорания,competencies
я не прибегаю к супервизиям/интервизиям в своей работе,competencies
"если клиент не хочет работать с какой-то темой, то я соглашаюсь и не затрагиваю ее",competencies
"я делюсь своим опытом с клиентом, чтобы показать альтернативный способ мышления или действий",competencies
"я информирую клиентов об особенностях процесса психотерапии, поскольку считаю, что это важно для нашей работы",competencies
"я рассказываю клиентам об особенностях подхода, в котором я работаю",competencies
"если я подозреваю у клиента наличие сопротивления, я задаю вопрос об этом",competencies
"я изучаю особенности применения техник (уместность, особенности и модификации разных упражнений)",competencies
"я переформулирую и уточняю цели терапии, если это необходимо",competencies
"я предпринимаю специальные действия для профилактики эмоционального выгорания (супервизии, личная терапия, интервизии, группы и т.д.)",competencies
я обращаюсь к интервизии и/или супервизии для рефлексии работы с клиентами,competencies
"когда клиент задает вопросы обо мне, я избегаю ответа на них",competencies
мне не хватает времени и сил следить за исследованиями в области психологии и смежных специальностей,competencies
"я стараюсь восстановить контакт с клиентом, если замечаю, что он нарушается",competencies
я прохожу личную терапию для проработки собственных проблем и запросов,competencies
"я уточняю, с чем связаны изменения в поведении клиента на сессии (изменение интонации, непривычно долгое молчание и.т.д)",competencies
"я объясняю клиентам некоторые психологические термины, которые считаю полезными для понимания ситуации",competencies
"я обсуждаю результаты, которые хочет получить клиент в ходе терапии",competencies
"я читаю дополнительную литературу, чтобы лучше разобраться в ситуации клиента",competencies
"я нормализую переживания клиента, раскрывая перед ним свой опыт",competencies
"я рассказываю клиенту о личном опыте применения упражнений и техник (например, практик внимательности), которые использую в терапии",competencies
"если клиент пытается манипулировать мной, я замечаю и сообщаю ему об этом",competencies
"когда клиент закрывается в процессе терапии, я не пытаюсь его вовлечь в разговор, а жду инициативы от него",competencies
в своей работе я уделяю внимание проговариванию конкретных формулировок целей,competencies
я останавливаю попытки манипуляций со стороны клиента,competencies
"я с уважением отношусь к личности, мировоззрению, ценностям клиента и стараюсь продемонстрировать это",competencies
"я не употребляю психологические термины, чтобы не запутывать клиента",competencies
"я часто испытываю теплые чувства и заботу по отношению к тем, кто менее удачлив, чем я.",empathy
мне иногда трудно поставить себя на место другого человека.,empathy
"бывает, я не чувствую искренней  жалости к  людям, когда у них возникают проблемы.",empathy
"я стараюсь рассмотреть точку зрения каждой из сторон во время спора перед тем, как приму решение.",empathy
"когда я вижу, что человека используют или обманывают, я чувствую, что хочу защитить его.",empathy
"бывает, я стараюсь лучше понять своих друзей, представляя, как все выглядит с их точки зрения.",empathy
неприятности других людей обычно не очень сильно волнуют меня.,empathy
"если я уверен, что я в чем-то прав, я не трачу много времени на выслушивание аргументов других.",empathy
"иногда я не чувствую жалости к тем, с кем поступают несправедливо.",empathy
"меня часто очень трогает то, чему я бываю свидетелем.",empathy
"я считаю, что всегда существует несколько способов решения каждого вопроса, и стараюсь рассмотреть их все.",empathy
я описал бы себя как очень мягкосердечного человека.,empathy
"если я обижен(а) на кого-то, я обычно стараюсь поставить себя на его место",empathy
"перед тем, как критиковать кого-либо, я стараюсь представить, как бы я чувствовал(а) себя на его месте.",empathy
"экстравертированным, полным энтузиазма.",TIPI
"критичным, придирчивым.",TIPI
"надежным, самодисциплинированным.",TIPI
"тревожным, легко расстраивающимся.",TIPI
"открытым новому опыту, сложным.",TIPI
"сдержанным, тихим.",TIPI
"отзывчивым, теплым.",TIPI
"неорганизованным, беспечным.",TIPI
"спокойным, эмоционально стабильным.",TIPI
"конвенциональным, не творческим.",TIPI
"я могу испытывать эмоцию, не осознавая этого до определенного времени",MAAS
"я ломаю или разбиваю вещи из-за неосторожности, невнимательности, так как думаю о чем-то другом",MAAS
"мне трудно сосредоточиться на том, что происходит в настоящий момент",MAAS
"я стараюсь быстро добраться до нужного мне места и не обращаю внимания на то, что чувствую по пути",MAAS
"я не обращаю внимания на чувство физического напряжения или дискомфорта до тех пор, пока они не начнут доставлять мне серьезного неудобства",MAAS
"если я слышу имя человека в первый раз, то забываю его почти сразу после того, как мне его назвали",MAAS
"мне кажется, я действую “на автопилоте”, не осознавая того, что я действительно делаю",MAAS
"я спешу совместить много дел, но по-настоящему ничему не уделяю внимания",MAAS
"я так сосредотачиваюсь на поставленной цели, что не думаю о том, что делаю в данный момент для ее достижения",MAAS
"я выполняю работу или задания осознанно, мне не свойственно делать что-либо автоматически",MAAS
"я ловлю себя на том, что слушаю кого-то одним ухом и одновременно делаю что-то еще",MAAS
"я прихожу куда-то на “автопилоте”, а потом удивляюсь, зачем я туда пришел",MAAS
"я замечаю, что погружаюсь в мысли о будущем и прошлом",MAAS
"я чем-то занимаюсь, не особо задумываясь, что я делаю и зачем",MAAS
"я ем, не осознавая сам процесс поглощения пищи",MAAS
свои планы на будущее люблю разрабатывать в малейших деталях,SSPM
"люблю всякие приключения, могу идти на риск",SSPM
"стараюсь всегда приходить вовремя, но тем не менее часто опаздываю",SSPM
"придерживаюсь девиза “выслушай совет, но сделай по-своему”",SSPM
часто полагаюсь на свои способности ориентироваться по ходу дела и не стремлюсь заранее представить последовательность своих действий,SSPM
"окружающие отмечают, что я недостаточно критичен к себе и своим действиям, но сам я это не всегда замечаю",SSPM
"накануне контрольных или экзаменов у меня обычно появлялось чувство, что не хватило 1–2 дней для подготовки",SSPM
"чтобы чувствовать себя уверенно, необходимо знать, что ждет тебя завтра",SSPM
"мне трудно себя заставить что-либо переделывать, даже если качество сделанного меня не устраивает",SSPM
"не всегда замечаю свои ошибки, чаще это делают окружающие меня люди",SSPM
переход на новую систему работы не причиняет мне особых неудобств,SSPM
мне трудно отказаться от принятого решения даже под влиянием близких мне людей,SSPM
"я не отношу себя к людям, жизненным принципом которых является “семь раз отмерь, один раз отрежь”",SSPM
"не выношу, когда меня опекают и за меня что-то решают",SSPM
не люблю много раздумывать о своем будущем,SSPM
в новой одежде часто ощущаю себя неловко,SSPM
"всегда заранее планирую свои расходы, не люблю делать незапланированных покупок",SSPM
"избегаю риска, плохо справляюсь с неожиданными ситуациями",SSPM
"мое отношение к будущему часто меняется: то строю радужные планы, то будущее кажется мне мрачным",SSPM
"всегда стараюсь продумать способы достижения цели, прежде чем начну действовать",SSPM
предпочитаю сохранять независимость даже от близких мне людей,SSPM
"мои планы на будущее обычно реалистичны, и я не люблю их менять",SSPM
в первые дни отпуска (каникул) при смене образа жизни всегда появляется чувство дискомфорта,SSPM
при большом объеме работы неминуемо страдает качество результатов,SSPM
"люблю перемены в жизни, смену обстановки и образа жизни",SSPM
не всегда вовремя замечаю изменения обстоятельств и из-за этого терплю неудачи,SSPM
"бывает, что настаиваю на своем, даже когда не уверен в своей правоте",SSPM
люблю придерживаться заранее намеченного на день плана,SSPM
"прежде чем выяснять отношения, стараюсь представить себе различные способы преодоления конфликта",SSPM
"в случае неудачи всегда ищу, что же было сделано неправильно",SSPM
"не люблю посвящать кого-либо в свои планы, редко следую чужим советам",SSPM
"считаю разумным принцип: сначала надо ввязаться в бой, а затем искать средства для победы",SSPM
"люблю помечтать о будущем, но это скорее фантазии, чем реальность",SSPM
стараюсь всегда учитывать мнение товарищей о себе и своей работе,SSPM
"если я занят чем-то важным для себя, то могу работать в любой обстановке",SSPM
в ожидании важных событий стремлюсь заранее представить последовательность своих действий при том или ином развитии ситуации,SSPM
"прежде чем взяться за дело, мне необходимо собрать подробную информацию об условиях его выполнения и сопутствующих обстоятельствах",SSPM
редко отступаюсь от начатого дела,SSPM
часто допускаю небрежное отношение к своим обязательствам в случае усталости и плохого самочувствия,SSPM
"если я считаю, что прав, то меня мало волнует мнение окружающих о моих действиях",SSPM
"про меня говорят, что я “разбрасываюсь”, не умею отделить главное от второстепенного",SSPM
не умею и не люблю заранее планировать свой бюджет,SSPM
"если в работе не удалось добиться устраивающего меня качества, стремлюсь переделать, даже если окружающим это не важно",SSPM
"после разрешения конфликтной ситуации часто мысленно к ней возвращаюсь, перепроверяю предпринятые действия и результаты",SSPM
"непринужденно чувствую себя в незнакомой компании, новые люди мне обычно интересны",SSPM
"обычно резко реагирую на возражения, стараюсь думать и делать все по-своему",SSPM
адрес электронной почты,info
