competence_ru,order_original,orientation,question_ru,q,q_order,C1,c1,C2,c2,c3
актуализация цели,2,настоящее,"в своей работе я определяю только общее направление движения, без уточнения конкретных формулировок.",q_5,5,процесс терапии,1,альянс и сеттинг - 1,2,3
актуализация цели,57,настоящее,в своей работе я уделяю внимание проговариванию конкретных формулировок целей,q_6,6,процесс терапии,1,альянс и сеттинг - 1,2,3
актуализация цели,4,настоящее,я не обсуждаю с клиентом цели на терапии,q_120,120,процесс терапии,1,альянс и сеттинг - 1,2,3
актуализация цели,64,настоящее,"я обсуждаю результаты, которые хочет получить клиент в ходе терапии",q_157,157,процесс терапии,1,альянс и сеттинг - 1,2,3
актуализация цели,53,настоящее,"я переформулирую и уточняю цели терапии, если это необходимо",q_174,174,процесс терапии,1,альянс и сеттинг - 1,2,3
актуализация цели,77,настоящее,"я поддерживаю в терапии актуальный процесс клиента, а не концентрируюсь на целях.",q_179,179,процесс терапии,1,альянс и сеттинг - 1,2,3
альтернативные взгляды,118,прошлое,"я задавал(а) вопросы, направленные на расширение и дополнение видения ситуации клиентом",q_74,74,работа с изменениями,3,работа с изменениями,8,28
альтернативные взгляды,48,прошлое,"я не привносил(а) информации, противоречащей взгляду клиента",q_134,134,работа с изменениями,3,работа с изменениями,8,28
альтернативные взгляды,64,прошлое,"я рекомендовал(а) клиенту ознакомиться с дополнительной информацией (исследования, книги, статистические данные, статьи и др.), которые не совпадают с его убеждениями",q_204,204,работа с изменениями,3,работа с изменениями,8,28
альтернативные взгляды,73,прошлое,я старался(лась) не влиять на убеждения клиента,q_214,214,работа с изменениями,3,работа с изменениями,8,28
вопросы,62,прошлое,"задавая вопросы клиенту, я опирался(лась) на интуицию",q_19,19,работа с изменениями,3,работа с изменениями,8,27
вопросы,5,прошлое,"сначала я собирал(а) как можно больше информации о жизни клиента, а потом думал(а), что из этого пригодится в работе",q_51,51,работа с изменениями,3,работа с изменениями,8,27
вопросы,83,прошлое,"я задавал(а) вопросы, ориентируясь на поставленную цель терапии",q_76,76,работа с изменениями,3,работа с изменениями,8,27
вопросы,30,прошлое,"я использовал(а) вопросы только для сбора информации, а не для продвижения терапевтического процесса",q_85,85,работа с изменениями,3,работа с изменениями,8,27
вопросы,37,прошлое,"я хорошо понимал(а), что я спрашиваю у клиента и зачем",q_228,228,работа с изменениями,3,работа с изменениями,8,27
гибкость и адаптивность,84,прошлое,"я адаптировал(а) свою работу в зависимости от потребностей, актуальных для клиента",q_54,54,процесс терапии,1,мета-компетенции,1,1
гибкость и адаптивность,80,прошлое,"я менял(а) план работы, в зависимости от того, что происходило на сессии",q_102,102,процесс терапии,1,мета-компетенции,1,1
гибкость и адаптивность,97,прошлое,"я продолжал(а) использовать выбранные приемы работы, вне зависимости от того, что происходило на сессии",q_192,192,процесс терапии,1,мета-компетенции,1,1
гибкость и адаптивность,4,прошлое,я строго придерживался(лась) плана работы и действовал(а) согласно ему,q_218,218,процесс терапии,1,мета-компетенции,1,1
границы и правила,10,настоящее,в начале терапии я сразу перехожу к обсуждению проблемы клиента и не трачу время на обсуждение правил взаимодействия,q_3,3,процесс терапии,1,альянс и сеттинг - 3,4,9
границы и правила,13,настоящее,"если клиент просит поменять время сессии, я иду ему навстречу",q_13,13,процесс терапии,1,альянс и сеттинг - 3,4,9
границы и правила,91,настоящее,"я допускаю общение с клиентом между сессиями, даже если мы об этом не договариваемся",q_71,71,процесс терапии,1,альянс и сеттинг - 3,4,9
границы и правила,6,настоящее,я обсуждаю с клиентом факт нарушения установленных правил взаимодействия для обозначения терапевтических границ,q_159,159,процесс терапии,1,альянс и сеттинг - 3,4,9
границы и правила,8,настоящее,"я уделяю особое внимание проговариванию с клиентом правил взаимодействия: оплата, сеттинг и т.д.",q_222,222,процесс терапии,1,альянс и сеттинг - 3,4,9
знание границ своей компетентности,60,настоящее,"даже если у меня возникают сомнения по поводу какого-то клиента, я стараюсь сначала справиться сам(а), и только при ухудшении его состояния обращаюсь к другим специалистам",q_9,9,профессионализм,4,профессионализм-1,9,34
знание границ своей компетентности,81,настоящее,"на первых сессиях я понимаю, могу ли помочь клиенту, или необходимо перенаправить его к другому специалисту",q_42,42,профессионализм,4,профессионализм-1,9,34
знание границ своей компетентности,95,настоящее,"я беру в работу клиента, даже если не учился(лась) работать именно с таким типом проблем",q_58,58,профессионализм,4,профессионализм-1,9,34
знание границ своей компетентности,67,настоящее,"я использую диагностические процедуры (интервью, опросники, мануалы), чтобы убедиться, что обладаю достаточной компетенцией для работы с клиентом",q_98,98,профессионализм,4,профессионализм-1,9,34
знание границ своей компетентности,56,настоящее,"я пробую немедикаментозные способы помощи, прежде чем рекомендовать обратиться к специалистам по поводу медикаментозного лечения",q_189,189,профессионализм,4,профессионализм-1,9,34
знание границ своей компетентности,9,настоящее,"я уточняю наличие симптомов тяжелых нарушений у клиента, чтобы вовремя перенаправить к подходящему специалисту",q_224,224,профессионализм,4,профессионализм-1,9,34
интерпретации,14,прошлое,"я акцентировал(а) внимание клиента на том, что его действия, слова и чувства могут иметь определенный психологический смысл",q_56,56,работа с изменениями,3,работа с изменениями,8,26
интерпретации,43,прошлое,"я не использовал(а) интерпретации, чтобы не исказить субъективный опыт клиента",q_113,113,работа с изменениями,3,работа с изменениями,8,26
интерпретации,19,прошлое,я не раскрывал(а) клиенту свое видение его случая,q_138,138,работа с изменениями,3,работа с изменениями,8,26
интерпретации,57,прошлое,я просил(а) клиента говорить о своих чувствах и мыслях и не предлагал(а) своих интерпретаций,q_193,193,работа с изменениями,3,работа с изменениями,8,26
интерпретации,88,прошлое,"я рассказывал(а) клиенту о том, что может значить его поведение или состояние с точки зрения той теории, которой я учился(лась)",q_200,200,работа с изменениями,3,работа с изменениями,8,26
информация о психических процессах,52,прошлое,"я говорил(а) клиенту, как его эмоциональное состояние может влиять на его физическое самочувствие",q_63,63,работа с изменениями,3,работа с изменениями,8,33
информация о психических процессах,51,прошлое,я информировал(а) клиента о способах совладания с негативными эмоциональными состояниями,q_83,83,работа с изменениями,3,работа с изменениями,8,33
информация о психических процессах,18,прошлое,"я использовал(а) свои знания о психических процессах, чтобы объяснить клиенту то, что с ним происходит",q_92,92,работа с изменениями,3,работа с изменениями,8,33
информация о психических процессах,25,прошлое,"я не объяснял клиенту, как работает его психика, так как считаю, что осознавание этого происходит (должно происходить) в процессе работы",q_121,121,работа с изменениями,3,работа с изменениями,8,33
информация о психотерапии,28,настоящее,"я информирую клиентов об особенностях процесса психотерапии, поскольку считаю, что это важно для нашей работы",q_84,84,процесс терапии,1,альянс и сеттинг - 2,3,8
информация о психотерапии,82,настоящее,"я не рассказываю клиентам о том, как работаю, поскольку считаю, что это никак не повлияет на эффективность нашей работы",q_139,139,процесс терапии,1,альянс и сеттинг - 2,3,8
информация о психотерапии,11,настоящее,"я не рассказываю клиентам об особенностях подхода, в котором работаю - они узнают об этом сами в процессе психотерапии",q_140,140,процесс терапии,1,альянс и сеттинг - 2,3,8
информация о психотерапии,24,настоящее,"я не рассказываю клиентам про то, как действуют техники и упражнения, которые я применяю в работе с ними",q_141,141,процесс терапии,1,альянс и сеттинг - 2,3,8
информация о психотерапии,87,настоящее,"я объясняю клиенту цель и способ действия интервенций, которые я применяю",q_165,165,процесс терапии,1,альянс и сеттинг - 2,3,8
информация о психотерапии,38,настоящее,"я рассказываю клиентам об особенностях подхода, в котором я работаю",q_201,201,процесс терапии,1,альянс и сеттинг - 2,3,8
конгруэнтность,22,прошлое,"на вопросы клиента о моих чувствах я давал(а) честный ответ, даже если это могло задеть его",q_40,40,отношения,2,отношения-1,5,17
конгруэнтность,53,прошлое,я открыто делился своими чувствами с клиентом во время сессии,q_171,171,отношения,2,отношения-1,5,17
конгруэнтность,127,прошлое,"я поддерживал(а) клиента, даже если чувствовал(а), что не хочу этого делать",q_178,178,отношения,2,отношения-1,5,17
конгруэнтность,100,прошлое,"я прикладывал(а) усилия, чтобы не показывать клиенту связанные с ним негативные эмоции",q_187,187,отношения,2,отношения-1,5,17
конгруэнтность,69,прошлое,"я старался(лась) не показывать клиенту свои чувства, возникающие в процессе терапии",q_215,215,отношения,2,отношения-1,5,17
контекст,78,прошлое,"в начале сессии я обсуждал(а) с клиентом, с чем бы он хотел поработать сегодня",q_2,2,отношения,2,отношения-2,6,23
контекст,66,прошлое,"я возвращал(а) клиента к изначальному плану терапии, если он отвлекался на другие цели",q_60,60,отношения,2,отношения-2,6,23
контекст,108,прошлое,"я не переключался(лась) на текущие потребности клиента, не связанные с выбранной целью",q_128,128,отношения,2,отношения-2,6,23
контекст,113,прошлое,"я следил(а) за тем, как менялось состояние клиента от начала к концу сессии",q_207,207,отношения,2,отношения-2,6,23
контекст,12,настоящее,"я спрашивал клиента, насколько работа с текущими переживаниями для него актуальнее, чем работа над целью",q_211,211,отношения,2,отношения-2,6,23
конфиденциальность,100,настоящее,"я не трачу время клиентов на обсуждение основ конфиденциальности, ведь клиенты и так знают, что могут доверить психотерапевту свои секреты (чек-бокс)",q_145,145,процесс терапии,1,альянс и сеттинг - 3,4,11
конфиденциальность,26,настоящее,я обсуждаю в профильных сообществах коллег в соцсетях случаи своих клиентов,q_156,156,процесс терапии,1,альянс и сеттинг - 3,4,11
конфиденциальность,37,настоящее,я подписываю с клиентом информированное согласие о конфиденциальности терапии (чек-бокс с 2-мя вариантами),q_181,181,процесс терапии,1,альянс и сеттинг - 3,4,11
конфиденциальность,17,настоящее,"я принимаю меры, чтобы анонимность клиента была сохранена во время разбора случая на супервизии и интервизии",q_188,188,процесс терапии,1,альянс и сеттинг - 3,4,11
конфиденциальность,3,настоящее,"я проговариваю устно, но не фиксирую письменно согласие о конфиденциальности терапии (чек бокс)",q_191,191,процесс терапии,1,альянс и сеттинг - 3,4,11
конфиденциальность,85,настоящее,я согласовываю с клиентом возможность аудио/видео записи сессии (чек бокс),q_209,209,процесс терапии,1,альянс и сеттинг - 3,4,11
концептуализация случая,67,прошлое,"мне не было нужно подробно расспрашивать клиента о его проблеме, поскольку я сразу понимал(а), что с ним происходит",q_35,35,процесс терапии,1,альянс и сеттинг - 1,2,4
концептуализация случая,28,прошлое,"я делал(а) концептуализацию случая только на первой встрече, а дальше уже работал(а) с проблемой",q_66,66,процесс терапии,1,альянс и сеттинг - 1,2,4
концептуализация случая,56,прошлое,"я дополнял(а) концептуализацию случая клиента новой информацией, которую получал(а)",q_70,70,процесс терапии,1,альянс и сеттинг - 1,2,4
концептуализация случая,75,прошлое,"я задавал(а) вопросы, необходимые для концептуализации случая клиента",q_75,75,процесс терапии,1,альянс и сеттинг - 1,2,4
концептуализация случая,93,прошлое,я не создавал(а) концептуализацию/модель случая клиента,q_142,142,процесс терапии,1,альянс и сеттинг - 1,2,4
концептуализация случая,20,прошлое,"я переформулировал(а) клиенту его слова, согласно модели терапии, в которой я работаю",q_173,173,процесс терапии,1,альянс и сеттинг - 1,2,4
межпрофессиональное сотрудничество,31,настоящее,"я интересуюсь знаниями в области биологии, социальных наук, медицины, антропологии, чтобы понимать контекст, в котором развивается моя практика",q_82,82,профессионализм,4,профессионализм-1,9,35
межпрофессиональное сотрудничество,29,настоящее,"я ищу контакты хороших специалистов в смежных профессиях, чтобы при необходимости перенаправить к ним клиента",q_100,100,профессионализм,4,профессионализм-1,9,35
межпрофессиональное сотрудничество,96,настоящее,"я не интересуюсь спецификой смежных дисциплин (психиатрии, биологии, социальной работы и пр.)",q_112,112,профессионализм,4,профессионализм-1,9,35
