order_original,orientation,competence_ru,question_ru
1,настоящее,Мультикультурность,Мне сложно работать с клиентом из-за его взглядов или культурных особенностей
2,настоящее,актуализация цели,"В своей работе я определяю только общее направление движения, без уточнения конкретных формулировок."
3,настоящее,конфиденциальность,"Я проговариваю устно, но не фиксирую письменно согласие о конфиденциальности терапии (чек бокс)"
4,настоящее,актуализация цели,Я не обсуждаю с клиентом цели на терапии
5,настоящее,обсуждение контракта,Я обсуждаю с клиентом критерии достижения общей цели нашей работы
6,настоящее,границы и правила,Я обсуждаю с клиентом факт нарушения установленных правил взаимодействия для обозначения терапевтических границ
7,настоящее,последовательность и фокус терапии,"Я работаю с ощущением безопасности клиента, прежде чем переходить к конфронтации с клиентом"
8,настоящее,границы и правила,"Я уделяю особое внимание проговариванию с клиентом правил взаимодействия: оплата, сеттинг и т.д."
9,настоящее,знание границ своей компетентности,"Я уточняю наличие симптомов тяжелых нарушений у клиента, чтобы вовремя перенаправить к подходящему специалисту"
10,настоящее,границы и правила,В начале терапии я сразу перехожу к обсуждению проблемы клиента и не трачу время на обсуждение правил взаимодействия
11,настоящее,информация о психотерапии,"Я не рассказываю клиентам об особенностях подхода, в котором работаю - они узнают об этом сами в процессе психотерапии"
12,настоящее,контекст,"Я спрашивал клиента, насколько работа с текущими переживаниями для него актуальнее, чем работа над целью"
13,настоящее,границы и правила,"Если клиент просит поменять время сессии, я иду ему навстречу"
14,настоящее,обсуждение контракта,Я обсуждаю цель работы с клиентом
15,настоящее,уместное самораскрытие,"Я раскрываю перед клиентом личный опыт, когда понимаю, что у нас крепкий терапевтический альянс"
16,настоящее,Распознавание разрывов в терапевтическом альянсе,"Я уточняю, с чем связаны изменения в поведении клиента на сессии (изменение интонации, непривычно долгое молчание и.т.д)"
17,настоящее,конфиденциальность,"Я принимаю меры, чтобы анонимность клиента была сохранена во время разбора случая на супервизии и интервизии"
18,настоящее,Мультикультурность,Я не работаю с людьми определенных национальностей или вероисповеданий
19,настоящее,Распознавание разрывов в терапевтическом альянсе,"Когда клиент закрывается в процессе терапии, я не пытаюсь его вовлечь в разговор, а жду инициативы от него"
20,настоящее,последовательность и фокус терапии,"Я не выделяю никаких этапов в психотерапевтической работе, она движется единым потоком"
21,настоящее,уместное самораскрытие,"Я делюсь своим опытом с клиентом, чтобы показать альтернативный способ мышления или действий"
22,настоящее,Распознавание разрывов в терапевтическом альянсе,"Я стараюсь восстановить контакт с клиентом, если замечаю, что он нарушается"
23,настоящее,межпрофессиональное сотрудничество,Я общаюсь на профессиональные темы преимущественно с коллегами из своего подхода
24,настоящее,информация о психотерапии,"Я не рассказываю клиентам про то, как действуют техники и упражнения, которые я применяю в работе с ними"
25,настоящее,саморегуляция,"Я выбираю и выражаю только те эмоции, которые считаю полезными для хода терапии"
26,настоящее,конфиденциальность,Я обсуждаю в профильных сообществах коллег в соцсетях случаи своих клиентов
27,настоящее,мотивация развиваться,Мне не хватает времени и сил следить за исследованиями в области психологии и смежных специальностей
28,настоящее,информация о психотерапии,"Я информирую клиентов об особенностях процесса психотерапии, поскольку считаю, что это важно для нашей работы"
29,настоящее,межпрофессиональное сотрудничество,"Я ищу контакты хороших специалистов в смежных профессиях, чтобы при необходимости перенаправить к ним клиента"
30,настоящее,последовательность и фокус терапии,"Прежде чем переходить к работе над целью, я уделяю время для формирования теплых, доверительных отношений с клиентом"
31,настоящее,межпрофессиональное сотрудничество,"Я интересуюсь знаниями в области биологии, социальных наук, медицины, антропологии, чтобы понимать контекст, в котором развивается моя практика"
32,настоящее,уместное самораскрытие,"Я спрашиваю разрешения у клиента, прежде чем рассказать о личном опыте"
33,настоящее,Профессиональные знания,"Я не употребляю психологические термины, чтобы не запутывать клиента"
34,настоящее,уместное самораскрытие,"Я ничего не рассказываю клиенту о себе, на терапии мы говорим о клиенте"
35,настоящее,Супервизия - личная терапия - интервизия,"Я осваиваю новые подходы самостоятельно, не прибегая к обучению у других специалистов"
36,настоящее,саморегуляция,"Я использую приемы саморегуляции, чтобы мои эмоции не мешали работе"
37,настоящее,конфиденциальность,Я подписываю с клиентом информированное согласие о конфиденциальности терапии (чек-бокс с 2-мя вариантами)
38,настоящее,информация о психотерапии,"Я рассказываю клиентам об особенностях подхода, в котором я работаю"
39,настоящее,Мультикультурность,"Цвет кожи, акцент в речи или внешний вид клиента мешают моей работе"
