C1,C2,C3,description,author,questions
ПРОЦЕСС ТЕРАПИИ,МЕТА-КОМПЕТЕНЦИИ,гибкость и адаптивность,"меняет линии поведения, следует за потребностями клиента, легко реагирует на неожиданности, при необходимости меняет стратегию",Женя,"(1) Я продолжал(а) следовать выбранной стратегии, даже если видел(а), что клиенту она не нравится  
(2) Когда я видел(а), что клиенту не подходит выбранная мной стратегия, я менял(а) ее 
(3) Я адаптировал(а) свою работу в зависимости от потребностей, актуальных для клиента 
(4) Я строго придерживался(лась) плана работы и действовал(а) согласно ему
(5) Я менял(а) план работы, в зависимости от того, что происходило на сессии 
(6) Я продолжал(а) использовать выбранные приемы работы, вне зависимости от того, что происходило на сессии"
ПРОЦЕСС ТЕРАПИИ,МЕТА-КОМПЕТЕНЦИИ,саморегуляция,"осознает собственные чувства и мысли, способен вернуться в функциональное состояние,  принимает решение о необходимости выражать эмоции на сессии, ",Женя,"(1) Я использую приемы саморегуляции, чтобы мои эмоции не мешали работе
(2) Если я испытываю негативные чувства по отношению к клиенту, я жду, когда они сами собой пройдут
(3) Негативные чувства и мысли, связанные с клиентом, не влияют на мою работу
(4) Я выражаю все эмоции, которые испытываю во время сессии
(5) Я выбираю и выражаю только те эмоции, которые считаю полезными для хода терапии
(6) Я не анализирую эмоции, возникающие у меня во время сессии
(7) Я называю эмоции, которые испытываю во время работы с клиентом
(8) Я отделяю чувства, которые переживаю в связи с процессом сессии, от своих личных переживаний"
ПРОЦЕСС ТЕРАПИИ,АЛЬЯНС И СЕТТИНГ - 1,актуализация цели," Спрашивает об актуальности цели, способствует уточнению/переформулированию/постановке обновленных целей, задает соответствующие вопросы на протяжении терапевтического процесса. Уделяет внимание проговариванию конкретных формулировок цели.",Женя,"(1) В своей работе я уделяю внимание проговариванию конкретных формулировок целей  
(2) В своей работе я определяю только общее направление движения, без уточнения конкретных формулировок. 
(3) Я поддерживаю в терапии актуальный процесс клиента, а не концентрируюсь на целях. 
(4) Я обсуждаю результаты, которые хочет получить клиент в ходе терапии  
(5) Я переформулирую и уточняю цели терапии, если это необходимо
(6) Я не обсуждаю с клиентом цели на терапии"
ПРОЦЕСС ТЕРАПИИ,АЛЬЯНС И СЕТТИНГ - 1,концептуализация случая,"концептуализирует случай, осмысляет информацию о клиенте в рамках подхода, в котором работает",,"(1) Я переформулировал(а) клиенту его слова, согласно модели терапии, в которой я работаю
(2) Я задавал(а) вопросы, необходимые для концептуализации случая клиента
(3) Я дополнял(а) концептуализацию случая клиента новой информацией, которую получал(а) 
(4) Мне не было нужно подробно расспрашивать клиента о его проблеме, поскольку я сразу понимал(а), что с ним происходит 
(5) Я не создавал(а) концептуализацию/модель случая клиента
(6) Я делал(а) концептуализацию случая только на первой встрече, а дальше уже работал(а) с проблемой"
ПРОЦЕСС ТЕРАПИИ,АЛЬЯНС И СЕТТИНГ - 1,обсуждение контракта,"обсуждает с клиентом контракт, стартовую ориентировочную цель",,"(1) Я формулирую психотерапевтический контракт со клиентом
(2) Я обсуждаю цель работы с клиентом 
(3) Я не обсуждаю контракт с клиентом, поскольку этого не предполагает подход, в котором я работаю 
(4) Я следую за текущими процессами клиента, не инициируя обсуждение целей нашей работы 
(5) Я обсуждаю с клиентом критерии достижения общей цели нашей работы 
(6) В процессе терапии все быстро меняется, поэтому я не формулирую детализированный контракт о целях работы с клиентом"
ПРОЦЕСС ТЕРАПИИ,АЛЬЯНС И СЕТТИНГ - 2,последовательность и фокус терапии,"1. Соблюдает этапы терапии, понимает её структуру. Напр, сначала контракт, потом определяет цели, устанавливает доверительную атмосферу, и только потом при необходимости конфронтирует
2. когда клиент отвлекается на рассуждения, не связанные с целью работы, терапевт возвращает его",,"(1) Я не выделяю никаких этапов в психотерапевтической работе, она движется единым потоком
(2) Мы с клиентом совместно формулируем повестку сессии
(3) Прежде чем переходить к работе над целью, я уделяю время для формирования теплых, доверительных отношений с клиентом
(4) Если клиент перескакивает на тему, не связанную с первоначальным запросом, то я следую за ним
(5) Я возвращаю клиента, если его размышления уходят далеко от темы нашей работы 
(6) Я работаю с ощущением безопасности клиента, прежде чем переходить к конфронтации с клиентом (7) Что бы ни происходило на сессии, я помню про поставленную нами цель
(8) На каждой сессии я напоминаю клиенту о том, что происходило на предыдущей сессии"
ПРОЦЕСС ТЕРАПИИ,АЛЬЯНС И СЕТТИНГ - 2,план сессии и отчет,"составляет план сессии, после сессии составляет отчет о проделанном, корректирует план при необходимости;",Аня,"(1) Я намечал(а) план на каждую сессию 
(2) После завершения сессии я обдумывал(а) произошедшее на ней
(3) Я корректировал(а) составленный ранее план терапии, если понимал(а), что назрели правки 
(4) В терапии я придерживался(лась) изначально составленного плана, пока он не даст результаты 
(5) Я не менял(а) ранее согласованный план терапии при каждом изменении течения клиентского процесса 
(6) Я не составлял(а) отчёт после каждой сессии 
(7) После сессии я делал(а) записи по клиентскому случаю"
ПРОЦЕСС ТЕРАПИИ,АЛЬЯНС И СЕТТИНГ - 2,информация о психотерапии,"предоставляет информацию об аспектах терапии, рассказывает о специфике подхода",,"(1) Я не рассказываю клиентам о том, как работаю, поскольку считаю что это никак не повлияет на эффективность нашей работы 
(2) Я информирую клиентов об особенностях процесса психотерапии, поскольку считаю, что это важно для нашей работы 
(3) Я не рассказываю клиентам про то, как действуют техники и упражнения, которые я применяю в работе с ними 
(4) Я объясняю клиенту цель и способ действия интервенций, которые я применяю 
(5) Я рассказываю клиентам об особенностях подхода, в котором я работаю 
(6) Я не рассказываю клиентам об особенностях подхода, в котором работаю - они узнают об этом сами в процессе психотерапии"
ПРОЦЕСС ТЕРАПИИ,АЛЬЯНС И СЕТТИНГ - 3,границы и правила,"оговаривает  границы, правила, режим взаимодействия и следует им, обсуждает с клиентами случаи нарушения границ",Аня,"(1) Я уделяю особое внимание проговариванию с клиентом правил взаимодействия: оплата, сеттинг и т.д.
(2) Я обсуждаю с клиентом факт нарушения установленных правил взаимодействия для обозначения терапевтических границ
(3) Если клиент нарушает оговоренные правила и границы, я делаю вид, что ничего не произошло
(4) В начале терапии я сразу перехожу к обсуждению проблемы клиента и не трачу время на обсуждение правил взаимодействия
(5) Если клиент просит поменять время сессии, я иду ему навстречу 
(6) Я допускаю общение с клиентом между сессиями, даже если мы об этом не договариваемся"
ПРОЦЕСС ТЕРАПИИ,АЛЬЯНС И СЕТТИНГ - 3,навыки тайм-менджмента,"вовремя приходит на сессию, укладывается в оговоренное время сессии, оставляет время, чтобы мягко завершить сессию",Аня,"(1) Окончание сессии затягивалось на 10-15 минут
(2) Мне приходилось резко обрывать ход сессии, обращая внимание клиента на то, что время истекло 
(3) Я обнаруживал(а) на сессии, что время вдруг подошло к концу
(4)Я тщательно следил(а) за таймингом сессий
(5)Я оставлял(а) время, что бы мягко завершить сессию
(6) Я не опаздывал(а) к началу сессии"
